City,city_population,density,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,age29andunder_pct,age65andolder_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax
"Hawthorne, California",86068,5463,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.063341251,6782.028673
"Whittier, California",85098,2242,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.060484927,6782.028673
"Alhambra, California",83750,4237,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.046788512,6782.028673
"Lakewood, California",79307,3253,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.056333565,6782.028673
"Bellflower, California",76435,4822,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.051325746,6782.028673
"Baldwin Park, California",75251,4381,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.041115324,6782.028673
"Lynwood, California",69887,5575,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.045139368,6782.028673
"Redondo Beach, California",66749,4158,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.054006307,6782.028673
"Pico Rivera, California",62027,2887,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.048194451,6782.028673
"Montebello, California",61954,2870,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.055102676,6782.028673
"Monterey Park, California",59669,3002,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.045408907,6782.028673
"Gardena, California",59329,3929,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.055082097,6782.028673
"Arcadia, California",57939,2047,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.044553106,6782.028673
"Huntington Park, California",57509,7370,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.074646377,6782.028673
"Diamond Bar, California",55720,1446,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.029237103,6782.028673
"Rosemead, California",54058,4043,49.27546,50.72454,48.4,26.5,7.9,0.2,14.3,0.2,7.8,36.4,19,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,62.9,16.61,51.4,74.4,41.3405481,12.20227788,0.605218358,1,22.41333625,71.75722154,0.048034618,6782.028673
