index,city_population,county_population,density,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,age29andunder_pct,age65andolder_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax
618,70166,555036,2484,48.4325341,51.5674659,9.6,58.5,24.1,0.2,5.4,0.0,6.5,43.9,17.0,23.4,7.1,8.7,80.5,7.7,4.0,2.4,1.1,4.2,84.7,12.0,3.2,0.1,68336,1106,34541,543,25.7,1427.059571,56.2,49.98,46.7,65.6,39.80655692,13.78829957,4.6024078930000005,1,32.59448685,62.09016315,0.105982408,3756.658868
619,69413,212605,2710,48.7368594,51.2631406,31.4,47.5,2.2,0.3,13.6,0.4,7.2,44.2,18.7,18.8,9.0,9.3,67.0,11.4,3.9,3.3,9.4,5.0,66.7,27.1,6.2,0.0,61621,1733,30615,679,23.2,1427.059571,63.6,11.54,49.7,77.5,48.6791211,11.34205493,6.929583916,1,25.26373493,66.6975271,0.052809022,5221.843083
620,60548,212605,1527,48.7368594,51.2631406,31.4,47.5,2.2,0.3,13.6,0.4,7.2,44.2,18.7,18.8,9.0,9.3,67.0,11.4,3.9,3.3,9.4,5.0,66.7,27.1,6.2,0.0,61621,1733,30615,679,23.2,1427.059571,63.6,11.54,49.7,77.5,48.6791211,11.34205493,6.929583916,1,25.26373493,66.6975271,0.06693029,5221.843083
621,53519,212605,962,48.7368594,51.2631406,31.4,47.5,2.2,0.3,13.6,0.4,7.2,44.2,18.7,18.8,9.0,9.3,67.0,11.4,3.9,3.3,9.4,5.0,66.7,27.1,6.2,0.0,61621,1733,30615,679,23.2,3440.657778,63.6,11.54,49.7,77.5,48.6791211,11.34205493,6.929583916,1,25.26373493,66.6975271,0.061400175,5221.843083
622,68941,104108,296,47.9357974,52.0642026,3.2,67.2,26.5,0.3,0.8,0.0,7.6,31.1,18.6,25.7,10.2,14.3,89.2,6.9,0.1,0.7,0.8,2.3,81.9,12.1,5.8,0.2,42803,919,24781,391,21.3,2518.849865,68.9,71.11,58.2,79.6,38.3979363,16.04855089,33.80405133,3,72.06547996,25.0099674,0.066901459,1378.490384
623,68802,102388,812,49.1961949,50.803805100000005,2.3,90.6,0.8,0.4,3.5,0.4,4.0,34.5,18.9,24.8,6.6,15.3,80.0,8.2,0.9,3.8,1.3,6.0,81.7,12.9,5.3,0.2,52178,1737,27780,705,18.4,2983.047617,44.8,35.33,35.1,54.6,44.53864798,13.87147105,23.00072922,3,42.47244238,49.72943427,0.0524939009999999,4684.474287
624,68669,251823,685,49.491905,50.508095,16.3,74.2,1.6,1.4,3.7,0.5,3.1,37.6,13.4,26.0,8.7,14.4,85.3,8.5,0.1,1.6,0.8,3.7,86.0,8.2,5.7,0.1,61271,1146,30611,679,19.9,2983.047617,58.2,56.91,47.4,68.9,42.16473447,12.78386501,25.16004861,2,62.86767744,28.92361398,0.070567822,2904.852779
625,68484,320940,771,49.7924846,50.2075154,8.3,83.3,1.1,0.1,4.4,0.1,3.3,53.7,11.6,25.0,4.6,5.0,78.0,6.7,1.9,1.0,1.4,11.0,83.3,11.6,5.1,0.1,111154,1484,48725,653,27.6,1039.135041,47.1,13.24,32.7,61.5,39.77208358,9.886137259,10.28742578,1,54.70589176,36.61726196,0.0304511339999999,3633.490933
626,57706,320940,1003,49.7924846,50.2075154,8.3,83.3,1.1,0.1,4.4,0.1,3.3,53.7,11.6,25.0,4.6,5.0,78.0,6.7,1.9,1.0,1.4,11.0,83.3,11.6,5.1,0.1,111154,1484,48725,653,27.6,3280.103026,47.1,13.24,32.7,61.5,39.77208358,9.886137259,10.28742578,1,54.70589176,36.61726196,0.021424231,3633.490933
627,68462,155300,660,50.3065035,49.6934965,3.2,87.8,5.0,0.3,2.1,0.0,4.5,32.7,17.9,24.0,8.8,16.6,79.5,7.5,1.3,4.6,1.3,5.8,83.2,11.1,5.5,0.2,59564,1137,29148,492,20.4,3039.825614,43.0,27.89,33.4,52.6,44.80642453,13.32153246,36.93325898,3,59.82636446,32.133882799999995,0.101912839,3507.800583
628,68159,125698,605,49.4948209,50.5051791,6.5,67.6,21.6,0.5,1.5,0.1,5.8,37.0,17.5,24.1,11.4,9.9,86.9,7.0,0.3,1.4,1.4,3.0,76.0,18.8,5.0,0.1,52145,2315,27235,825,21.7,2330.06607,65.7,66.24,55.5,76.0,42.79506094,12.69483643,24.34197591,2,71.16433959,25.35909164,0.094082823,2946.528347
